SalesOrderID,CustomerID,OrderQty,ProductID,UnitPriceDiscount
43659,1,1,776,0%
43659,1,3,777,0%
43659,1,1,778,0%
43659,1,1,771,0%
43659,1,1,772,0%
43659,1,2,773,0%
43659,1,1,774,0%
43659,1,3,714,0%
43659,1,1,716,0%
43659,1,6,709,0%
43659,1,2,712,0%
43659,1,4,711,0%
43660,24,1,762,0%
43660,24,1,758,0%
43661,6,1,745,0%
43661,6,1,743,0%
43661,6,2,747,0%
43661,6,4,712,0%
43661,6,4,715,0%
43661,6,2,742,0%
43661,6,3,775,0%
43661,6,2,778,0%
43661,6,2,711,0%
43661,6,2,741,0%
43661,6,4,776,0%
43661,6,2,773,0%
43661,6,2,716,0%
43661,6,2,777,0%
43661,6,5,708,0%
43662,5,3,764,0%
43662,5,5,770,0%
43662,5,2,730,0%
43662,5,4,754,0%
43662,5,3,725,0%
43662,5,5,762,0%
43662,5,3,765,0%
43662,5,2,768,0%
43662,5,1,753,0%
43662,5,1,756,0%
43662,5,3,763,0%
43662,5,1,732,0%
43662,5,6,758,0%
43662,5,1,729,0%
43662,5,3,722,0%
43662,5,1,749,0%
43662,5,3,760,0%
43662,5,1,726,0%
43662,5,1,733,0%
43662,5,1,738,0%
43662,5,3,766,0%
43662,5,1,755,0%
43663,34,1,760,0%
43664,20,1,772,0%
43664,20,4,775,0%
43664,20,1,714,0%
43664,20,1,716,0%
43664,20,2,777,0%
43664,20,3,771,0%
43664,20,1,773,0%
43664,20,1,778,0%
43665,7,2,711,0%
43665,7,1,773,0%
43665,7,1,707,0%
43665,7,2,715,0%
43665,7,2,777,0%
43665,7,2,712,0%
43665,7,2,775,0%
43665,7,1,778,0%
43665,7,6,709,0%
43665,7,1,776,0%
43666,46,1,764,0%
43666,46,1,753,0%
43666,46,1,732,0%
43666,46,1,756,0%
43666,46,2,768,0%
43666,46,1,766,0%
43667,17,3,710,0%
43667,17,1,773,0%
43667,17,1,778,0%
43667,17,1,775,0%
43668,28,3,756,0%
43668,28,2,753,0%
43668,28,7,760,0%
43668,28,6,765,0%
43668,28,6,715,0%
43668,28,6,730,0%
43668,28,2,707,0%
43668,28,2,711,0%
43668,28,2,754,0%
43668,28,4,712,0%
43668,28,2,729,0%
43668,28,3,755,0%
43668,28,3,761,0%
43668,28,2,770,0%
43668,28,3,726,0%
43668,28,2,764,0%
43668,28,2,766,0%
43668,28,2,725,0%
43668,28,1,716,0%
43668,28,2,768,0%
43668,28,4,732,0%
43668,28,6,758,0%
43668,28,4,762,0%
43668,28,3,738,0%
43668,28,4,714,0%
43668,28,3,722,0%
43668,28,1,708,0%
43668,28,3,733,0%
43668,28,3,763,0%
43669,49,1,747,0%
43670,38,1,710,0%
43670,38,2,709,0%
43670,38,2,773,0%
43670,38,1,776,0%
43671,1,1,753,0%
43671,1,2,714,0%
43671,1,1,756,0%
43671,1,2,768,0%
43671,1,2,732,0%
43671,1,2,763,0%
43671,1,2,755,0%
43671,1,2,764,0%
43671,1,1,716,0%
43671,1,1,711,0%
43671,1,1,708,0%
43672,43,6,709,0%
43672,43,2,776,0%
43672,43,1,774,0%
43673,11,1,754,0%
43673,11,3,715,0%
43673,11,1,729,0%
43673,11,2,761,0%
43673,11,1,762,0%
43673,11,2,738,0%
43673,11,2,770,0%
43673,11,1,712,0%
43673,11,2,708,0%
43673,11,1,711,0%
43673,11,4,707,0%
43674,29,3,758,0%
43675,27,4,761,0%
43675,27,5,711,0%
43675,27,2,738,0%
43675,27,1,708,0%
43675,27,2,762,0%
43675,27,2,758,0%
43675,27,2,712,0%
43675,27,1,754,0%
43675,27,3,715,0%
43676,33,2,776,0%
43676,33,2,778,0%
43676,33,1,710,0%
43676,33,3,775,0%
43676,33,4,709,0%
43677,19,3,715,0%
43677,19,1,753,0%
43677,19,1,758,0%
43677,19,1,770,0%
43677,19,2,708,0%
43677,19,4,760,0%
43677,19,2,765,0%
43677,19,1,763,0%
43677,19,5,712,0%
43677,19,1,707,0%
43677,19,1,754,0%
43677,19,2,729,0%
43678,38,1,760,0%
43678,38,2,738,0%
43678,38,1,765,0%
43678,38,2,732,0%
43678,38,3,762,0%
43678,38,2,761,0%
43678,38,3,712,0%
43678,38,4,708,0%
43678,38,2,729,0%
43678,38,1,756,0%
43678,38,2,725,0%
43678,38,1,716,0%
43678,38,1,770,0%
43678,38,2,758,0%
43678,38,2,715,0%
43678,38,1,754,0%
43678,38,1,755,0%
43678,38,3,711,0%
43678,38,1,707,0%
43679,24,1,760,0%
43679,24,2,770,0%
43679,24,2,715,0%
43680,43,3,760,0%
43680,43,2,756,0%
43680,43,2,738,0%
43680,43,4,707,0%
43680,43,1,729,0%
43680,43,1,711,0%
43680,43,2,715,0%
43680,43,2,725,0%
43680,43,1,758,0%
43680,43,1,761,0%
43680,43,2,753,0%
43680,43,2,708,0%
43680,43,3,765,0%
43680,43,3,712,0%
43680,43,1,763,0%
43681,20,6,715,0%
43681,20,5,762,0%
43681,20,1,732,0%
43681,20,1,707,0%
43681,20,1,729,0%
43681,20,2,708,0%
43681,20,3,770,0%
43681,20,2,730,0%
43681,20,3,758,0%
43681,20,1,768,0%
43681,20,2,761,0%
43681,20,2,738,0%
43681,20,1,753,0%
43681,20,2,714,0%
43681,20,2,764,0%
43681,20,2,760,0%
43681,20,1,756,0%
43681,20,2,716,0%
43681,20,2,711,0%
43681,20,1,725,0%
43681,20,2,712,0%
43682,42,2,758,0%
43682,42,1,762,0%
43682,42,2,760,0%
43682,42,2,770,0%
43682,42,1,715,0%
43683,3,2,776,0%
43683,3,2,715,0%
43683,3,2,773,0%
43683,3,1,774,0%
43683,3,1,708,0%
43683,3,2,711,0%
43683,3,3,712,0%
43683,3,4,775,0%
43683,3,6,777,0%
43683,3,1,772,0%
43683,3,3,707,0%
43683,3,5,778,0%
43683,3,6,709,0%
43684,46,2,754,0%
43684,46,2,762,0%
43684,46,1,760,0%
43684,46,2,758,0%
43684,46,1,770,0%
43684,46,1,763,0%
43685,18,3,765,0%
43685,18,1,763,0%
43685,18,1,754,0%
43685,18,1,725,0%
43686,21,3,758,0%
43686,21,1,762,0%
43686,21,1,770,0%
43687,11,1,768,0%
43687,11,2,765,0%
43688,18,1,725,0%
43688,18,2,760,0%
43688,18,3,762,0%
43688,18,1,738,0%
43688,18,1,763,0%
43688,18,2,729,0%
43688,18,2,754,0%
43688,18,2,758,0%
43688,18,3,765,0%
43688,18,1,770,0%
43688,18,2,753,0%
43689,48,3,764,0%
43689,48,2,738,0%
43689,48,2,725,0%
43689,48,1,753,0%
43689,48,2,755,0%
43689,48,4,766,0%
43689,48,2,770,0%
43689,48,7,760,0%
43689,48,3,726,0%
43689,48,1,722,0%
43689,48,6,763,0%
43689,48,2,729,0%
43689,48,2,730,0%
43689,48,2,732,0%
43689,48,5,765,0%
43689,48,2,768,0%
43689,48,2,761,0%
43689,48,3,758,0%
43689,48,2,749,0%
43689,48,9,762,0%
43689,48,4,754,0%
43690,18,1,715,0%
43690,18,1,770,0%
43690,18,2,712,0%
43690,18,2,760,0%
43691,29,1,758,0%
43692,7,5,770,0%
43692,7,1,725,0%
43692,7,8,754,0%
43692,7,2,730,0%
43692,7,10,715,0%
43692,7,1,768,0%
43692,7,4,756,0%
43692,7,2,738,0%
43692,7,8,758,0%
43692,7,3,708,0%
43692,7,6,762,0%
43692,7,3,732,0%
43692,7,6,712,0%
43692,7,4,714,0%
43692,7,7,760,0%
43692,7,2,755,0%
43692,7,4,716,0%
43692,7,2,765,0%
43692,7,1,764,0%
43692,7,2,753,0%
43692,7,1,766,0%
43692,7,1,722,0%
43692,7,3,761,0%
43692,7,3,711,0%
43692,7,1,763,0%
43692,7,2,729,0%
43692,7,4,707,0%
43692,7,2,726,0%
43693,22,3,716,0%
43693,22,1,773,0%
43693,22,6,709,0%
43693,22,2,707,0%
43693,22,3,771,0%
43693,22,2,708,0%
43693,22,1,774,0%
43693,22,3,777,0%
43693,22,1,772,0%
43693,22,1,778,0%
43694,16,3,776,0%
43694,16,3,771,0%
43694,16,2,715,0%
43694,16,1,772,0%
43694,16,3,716,0%
43694,16,1,707,0%
43694,16,1,708,0%
43694,16,1,774,0%
43694,16,2,773,0%
43694,16,1,712,0%
43694,16,5,711,0%
43695,50,2,774,0%
43695,50,2,748,0%
43695,50,1,747,0%
43695,50,1,742,0%
43695,50,5,777,0%
43695,50,6,778,0%
43695,50,2,709,0%
43695,50,5,775,0%
43696,26,1,762,0%
43697,44,1,749,0%
43698,42,1,773,0%
43699,32,1,773,0%
43700,21,1,767,0%
43701,47,1,773,0%
43702,1,1,750,0%
43703,42,1,749,0%
43704,26,1,778,0%
43705,19,1,771,0%
43706,25,1,751,0%
43707,7,1,751,0%
43708,29,1,764,0%
43709,37,1,752,0%
43710,9,1,753,0%
43711,40,1,753,0%
43712,8,1,750,0%
43713,12,1,749,0%
43714,6,1,750,0%
43715,46,1,753,0%
43716,24,1,750,0%
43717,40,1,767,0%
43718,17,1,750,0%
43719,23,1,751,0%
43720,43,1,750,0%
43721,32,1,749,0%
43722,4,1,751,0%
43723,1,1,765,0%
43724,40,1,750,0%
43725,19,1,750,0%
43726,41,1,765,0%
43727,9,1,750,0%
43728,28,1,752,0%
43729,25,1,773,0%
43730,11,1,773,0%
43731,32,1,753,0%
43732,44,1,777,0%
43733,38,1,751,0%
43734,23,1,751,0%
43735,38,1,749,0%
43736,21,1,773,0%
43737,34,1,750,0%
43738,40,1,751,0%
43739,7,1,749,0%
43740,40,1,751,0%
43741,34,1,749,0%
43742,11,1,753,0%
43743,44,1,774,0%
43744,5,1,752,0%
43745,3,1,750,0%
43746,50,1,751,0%
43747,37,1,753,0%
43748,45,1,752,0%
43749,48,1,753,0%
43750,39,1,750,0%
43751,24,1,752,0%
43752,44,1,750,0%
43753,50,1,749,0%
43754,3,1,751,0%
43755,43,1,750,0%
43756,44,1,765,0%
43757,49,1,777,0%
43758,39,1,749,0%
43759,47,1,749,0%
43760,3,1,753,0%
43761,10,1,749,0%
43762,12,1,753,0%
43763,42,1,752,0%
43764,48,1,749,0%
43765,44,1,773,0%
43766,33,1,752,0%
43767,12,1,777,0%
43768,29,1,751,0%
43769,3,1,751,0%
43770,6,1,751,0%
43771,21,1,764,0%
43772,34,1,751,0%
43773,35,1,753,0%
43774,21,1,752,0%
43775,10,1,774,0%
43776,4,1,753,0%
43777,2,1,750,0%
43778,35,1,772,0%
43779,49,1,762,0%
43780,7,1,750,0%
43781,31,1,751,0%
43782,33,1,751,0%
43783,43,1,751,0%
43784,5,1,749,0%
43785,9,1,750,0%
43786,22,1,750,0%
43787,22,1,771,0%
43788,5,1,778,0%
43789,44,1,778,0%
43790,39,1,771,0%
43791,42,1,753,0%
43792,14,1,751,0%
43793,14,1,771,0%
43794,10,1,774,0%
43795,42,1,751,0%
43796,38,1,770,0%
43797,6,1,751,0%
43798,37,1,749,0%
43799,11,1,751,0%
43800,37,1,750,0%
43801,21,1,750,0%
43802,35,1,751,0%
43803,21,1,753,0%
43804,6,1,749,0%
43805,35,1,763,0%
43806,23,1,751,0%
43807,37,1,751,0%
43808,9,1,752,0%
43809,6,1,749,0%
43810,23,1,772,0%
43811,29,1,773,0%
43812,1,1,751,0%
43813,15,1,777,0%
43814,25,1,777,0%
43815,34,1,750,0%
43816,34,1,753,0%
43817,34,1,749,0%
43818,14,1,751,0%
43819,38,1,773,0%
43820,43,1,751,0%
43821,8,1,749,0%
43822,45,1,752,0%
43823,2,1,770,0%
43824,47,1,768,0%
43825,18,1,752,0%
43826,33,1,775,0%
43827,26,1,768,0%
43828,27,1,749,0%
43829,28,1,749,0%
43830,24,1,750,0%
43831,32,1,776,0%
43832,42,1,749,0%
43833,24,1,749,0%
43834,42,1,775,0%
43835,32,1,775,0%
43836,8,1,761,0%
43837,39,1,777,0%
43838,35,1,752,0%
43839,5,1,750,0%
43840,16,1,762,0%
43841,16,1,753,0%
43842,44,1,751,0%
43843,13,2,774,0%
43843,13,2,778,0%
43843,13,2,742,0%
43843,13,5,777,0%
43843,13,2,748,0%
43843,13,1,741,0%
43843,13,1,745,0%
43843,13,2,771,0%
43843,13,2,709,0%
43843,13,3,776,0%
43844,22,4,775,0%
43844,22,2,776,0%
43844,22,3,777,0%
43844,22,1,778,0%
43845,46,1,725,0%
43845,46,3,715,0%
43845,46,1,770,0%
43845,46,2,763,0%
43845,46,2,761,0%
43845,46,1,754,0%
43845,46,2,765,0%
43845,46,2,753,0%
43845,46,1,729,0%
43845,46,4,712,0%
43846,21,3,729,0%
43846,21,1,712,0%
43846,21,1,738,0%
43846,21,1,725,0%
43847,1,1,715,0%
43847,1,1,712,0%
43847,1,1,758,0%
43848,40,1,773,0%
43848,40,1,778,0%
43848,40,1,775,0%
43848,40,4,776,0%
43848,40,2,771,0%
43849,10,2,776,0%
43849,10,1,714,0%
43849,10,2,777,0%
43849,10,2,771,0%
43849,10,1,711,0%
43849,10,1,773,0%
43849,10,4,715,0%
43849,10,1,772,0%
43849,10,1,707,0%
43849,10,2,774,0%
43849,10,1,708,0%
43850,21,1,765,0%
43850,21,1,755,0%
43850,21,1,761,0%
43850,21,2,762,0%
43850,21,1,753,0%
43850,21,3,725,0%
43850,21,1,729,0%
43850,21,3,758,0%
43850,21,1,756,0%
43850,21,3,732,0%
43850,21,1,738,0%
43851,35,2,761,0%
43851,35,1,760,0%
43851,35,1,711,0%
43851,35,3,770,0%
43851,35,1,707,0%
43851,35,1,725,0%
43851,35,1,754,0%
43851,35,3,738,0%
43851,35,1,753,0%
43851,35,1,765,0%
43851,35,1,712,0%
43851,35,3,708,0%
43852,20,1,776,0%
43853,10,2,777,0%
43853,10,1,773,0%
43853,10,1,771,0%
43853,10,4,776,0%
43853,10,2,775,0%
43853,10,3,778,0%
43854,29,2,758,0%
43855,19,2,765,0%
43855,19,2,760,0%
43855,19,1,753,0%
43855,19,4,761,0%
43855,19,1,738,0%
43855,19,3,762,0%
43855,19,2,732,0%
43855,19,1,766,0%
43855,19,1,726,0%
43855,19,2,770,0%
43855,19,1,725,0%
43855,19,1,755,0%
43855,19,2,768,0%
43856,33,2,709,0%
43856,33,1,777,0%
43857,17,1,760,0%
43857,17,1,765,0%
43857,17,2,762,0%
43857,17,3,758,0%
43857,17,1,715,0%
43857,17,3,712,0%
43857,17,1,716,0%
43857,17,1,725,0%
43857,17,2,711,0%
43857,17,1,708,0%
43857,17,2,738,0%
43857,17,1,763,0%
43857,17,2,754,0%
43857,17,2,707,0%
43858,38,2,762,0%
43858,38,2,761,0%
43858,38,5,770,0%
43858,38,1,765,0%
43858,38,2,738,0%
43858,38,3,763,0%
43858,38,2,754,0%
43858,38,1,722,0%
43858,38,2,753,0%
43858,38,1,726,0%
43858,38,1,766,0%
43858,38,1,729,0%
43858,38,1,756,0%
43859,47,1,715,0%
43859,47,1,762,0%
43859,47,3,758,0%
43859,47,2,760,0%
43860,32,2,761,0%
43860,32,1,770,0%
43860,32,2,758,0%
43860,32,2,765,0%
43860,32,1,732,0%
43860,32,1,762,0%
43860,32,1,738,0%
43860,32,1,768,0%
43860,32,2,753,0%
43860,32,1,729,0%
43860,32,1,763,0%
43860,32,1,756,0%
43861,20,1,732,0%
43861,20,3,764,0%
43861,20,5,770,0%
43861,20,2,768,0%
43861,20,1,725,0%
43861,20,9,715,0%
43861,20,4,765,0%
43861,20,1,753,0%
43861,20,2,733,0%
43861,20,2,730,0%
43861,20,2,766,0%
43861,20,4,711,0%
43861,20,3,754,0%
43861,20,2,756,0%
43861,20,2,729,0%
43861,20,4,760,0%
43861,20,2,755,0%
43861,20,6,716,0%
43861,20,2,763,0%
43861,20,2,758,0%
43861,20,9,712,0%
43861,20,2,761,0%
43861,20,4,707,0%
43861,20,1,738,0%
43861,20,3,714,0%
43861,20,2,722,0%
43861,20,3,708,0%
43862,26,4,771,0%
43862,26,1,741,0%
43862,26,3,777,0%
43862,26,4,773,0%
43862,26,2,747,0%
43862,26,2,748,0%
43862,26,2,774,0%
43862,26,1,745,0%
43862,26,4,709,0%
43863,7,1,758,0%
43863,7,1,712,0%
43863,7,1,760,0%
43863,7,1,762,0%
43864,26,5,772,0%
43864,26,1,747,0%
43864,26,2,741,0%
43864,26,2,778,0%
43864,26,4,776,0%
43864,26,1,748,0%
43864,26,2,771,0%
43864,26,4,773,0%
43864,26,1,745,0%
43865,21,1,758,0%
43865,21,2,770,0%
43865,21,1,753,0%
43865,21,4,760,0%
43865,21,1,725,0%
43865,21,4,729,0%
43865,21,1,762,0%
43865,21,2,763,0%
43865,21,5,715,0%
43865,21,1,738,0%
43865,21,3,712,0%
